"","Code","Reference","Country","Site","Latitude","Longitude","MAT..�.C...Origin.data.","MAP..mm...Origin.data.","Elevation..m.a.s.l..","Slope..Origin.data.","Vegetation.type..Origin.data.","Stand.age","Parent.material..origin.data.","Soil.type..Origin.data.","Soil.class","Soil.age..a.","Comment..Site.note.","Soil.hori","X.","P.inorg..mg.kg...Resin..origin.data.","P.inorg..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...First.two..BicPi.W.R.Pi...ori....","P.org..mg.kg...Bicarbonate..origin.data.","P.inorg..mg.kg...Hydroxide..origin.data.","P.org..mg.kg...Hydroxide..origin.data.","P..mg.kg...Apatite..origin.data.","P.inorg..mg.kg...Sonic..origin.data.","P.org..mg.kg...Sonic..origin.data.","P.inorg..mg.kg...Conc...HCl..origin.data.","P.org..mg.kg...Conc...HCl..origin.data.","P..mg.kg...Residue..origin.data.","P.org..mg.kg...Total..origin.data.","P..mg.kg...Sum.of.P.fraction..origin.data.","P..mg.kg...Total.P.measured.separat..ori....","Comment..Notes.about.P.fractions..orig....","pH","TOC....","TN....","Al..mg.kg...DCB.Al..origin.data.","Fe..mg.kg...DCB.Al..origin.data.","Al..mg.kg...Oxalate..origin.data.","Fe..mg.kg...Oxalate..origin.data.","DBD..g.cm..3.","Texture","Sand....","Silt....","X.2.µm...9.phi....","Method.comm","P..mg.kg...Microbial.biomass..origin.data.","Lat.2","Long.2","MAT..�.C...MAT2..site.mean.annual.tempat....","MAP..mm...MAP2..site.mean.annual.precip....","Aridity.index","Elev2..m.a.s.l..","Soil.type..Soil.type2..according.to.USDA....","Parent.material..Parent.material2.","Vegetation.type..Vegetation.type2..grouped.int....","Slope..Slope2..slope.expressed.in.pe....","Depth.soil..m.","Comment","Code..Soil.depth.code..0..organic.l....","P..mg.kg...Total.P2..total..sum.of.P.fra....","P.inorg..mg.kg...Available..sum.of.HCO3Pi.and.....","P.org..mg.kg...Sum.of.HCO3.Po.and.OH.Po.","P.inorg..mg.kg...Primary.P..HCI.Pi.","P.inorg..mg.kg...Secondary.P..OH.Pi.","P..mg.kg...Occluded.P..TP.sum.resin.P..b...."
"1",1,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","0-16 cm","",7.9,7.2,NA,6.5,47.5,57.8,40.2,NA,NA,NA,NA,224.3,NA,391.4,NA,"",6,0.8,NA,1000,13800,NA,20,1.5,"",66.6,18.2,15.2,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,391.4,15.1,64.3,40.2,47.5,224.3
"2",2,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","16-39 cm","",1.8,3.6,NA,4.1,30.7,41.9,29.3,NA,NA,NA,NA,202.5,NA,313.9,NA,"",6,0.3,NA,1000,13600,NA,140,1.5,"",65.8,15.9,18.3,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,313.9,5.4,46,29.3,30.7,202.5
"3",3,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","39-82 cm","",1.4,2.5,NA,4.3,32,23.6,24.4,NA,NA,NA,NA,207.4,NA,295.4,NA,"",5.7,0.2,NA,1100,15600,NA,30,1.5,"",62.2,13.9,23.9,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,60.5,"",3,295.4,3.9,27.9,24.4,32,207.2
"4",4,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Upslope","82-162 cm","",1.7,2.8,NA,1.6,28.8,2.4,17,NA,NA,NA,NA,220.8,NA,275,NA,"",5.7,0.1,NA,1000,15100,NA,50,1.6,"",60.1,22.1,17.8,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,122,"",3,275,4.5,4,17,28.8,220.7
"5",5,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","0-16 cm","",10.3,7.7,NA,5.5,37.1,60.4,32.1,NA,NA,NA,NA,109,NA,262.1,NA,"",5.9,0.9,NA,1000,10400,NA,30,1.5,"",58.6,19.9,21.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,262.1,18,65.9,32.1,37.1,109
"6",6,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","16-39 cm","",1.6,2.1,NA,5.2,19.2,52.5,19.2,NA,NA,NA,NA,108.5,NA,206.5,NA,"",5.7,0.3,NA,800,8200,NA,80,1.5,"",65.2,12.3,22.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,206.5,3.7,57.7,19.2,19.2,106.7
"7",7,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","39-82 cm","",1.6,4.4,NA,3.5,24.9,37.2,24.9,NA,NA,NA,NA,128.3,NA,223.6,NA,"",5.3,0.3,NA,1200,11700,NA,70,1.5,"",56.9,16.9,26.2,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,60.5,"",3,223.6,6,40.7,24.9,24.9,127.1
"8",8,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Midslope","82-162 cm","",1.6,3.4,NA,1.9,26,16.7,26,NA,NA,NA,NA,150.1,NA,219.4,NA,"",5.2,0.2,NA,1200,13600,NA,60,1.5,"",54.4,16.1,29.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,122,"",3,219.4,5,18.6,26,26,143.8
"9",9,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","0-16 cm","",6.9,7.9,NA,5.9,45.2,77.8,32.1,NA,NA,NA,NA,128.1,NA,303.8,NA,"",6,1,NA,1000,11000,NA,40,1.5,"",64.6,15.9,19.5,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,8,"",1,303.8,14.8,83.7,32.1,45.2,128
"10",10,"Araujo et al., 2004","Brazil","Santa Rita",-7.82,-40.17,25.7,585,NA,NA,"Caatinga","Native","Pliocene-Pleistocene colluvial sediments","Ultisol","USDA system",NA,"Downslope","16-39 cm","",1.9,3.8,NA,6.4,32.4,70.4,27.6,NA,NA,NA,NA,141.5,NA,283.8,NA,"",5.8,0.5,NA,1000,10100,NA,100,1.5,"",59.5,11.7,28.8,"Pipette method",NA,-7.82,-40.17,25.7,585,0.38,532,"Ultisols","Sand and sandstones","Shrub",NA,27.5,"",3,283.8,5.7,76.8,27.6,32.4,141.3
